ID,Code,Progress,Q1,Q1_other,Q2,Q2_other,Q3,Q4,Q4_other,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q14,Q15,Q15_other,Q16,Q17_1,Q18,Q18_other,Q19,Q20,Q20_size,Q21_1,Q21_2,Q22,Q23_1,Q24,Q25_1,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q28,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q30,Q31,Q32,Q33,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q34_7,Q35,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q37,Q38_1,Q38_2,Q38_3,Q38_4,Q39,Q40,Q41,Q42,Q43,Q43_other
1,D1,100,Dairy,NA,Facility manager,NA,Yes,"Operations/production has been reduced/cut back,Management/corporate employees working remotely,Major changes in operational staffing control and protection protocols",NA,"5 -
Extremely concerning","5 -
Extremely concerning","4 -
Very concerning","5 -
Extremely concerning","5 -
Extremely concerning","5 -
Extremely concerning","4 -
Very concerning","5 -
Extremely concerning","5 -
Extremely concerning","5 -
Extremely concerning",NA,"4 -
Very challenging","3 -
Moderately challenging","3 -
Moderately challenging","4 -
Very challenging","4 -
Very challenging",NA,"5 -
Extremely important","5 -
Extremely important","3 -
Moderately important","5 -
Extremely important","3 -
Moderately important","3 -
Moderately important",NA,"4 -
Very important","4 -
Very important","4 -
Very important","4 -
Very important","4 -
Very important","4 -
Very important",NA,"4 -
Very important","5 -
Extremely important","4 -
Very important","4 -
Very important","4 -
Very important","4 -
Very important",NA,Dairy,NA,NA,NA,NA,NA,NA,1-49,Small,20,5,Yes,35,Yes,35,20%,"4 -
High risk","3 -
Moderate risk","3 -
Moderate risk","3 -
Moderate risk","3 -
Moderate risk","5 - 
Very high risk",NA,"4 -
Very concerning","4 -
Very concerning","3 -
Moderately concerning",Do not know,"3 -
Moderately concerning","2 -
Slightly concerning","4 -
Very concerning",NA,"Extend the number of work hours for remaining workers,Backfill by reorganizing personnel in the same facility",Yes,NA,No,"Yes, but only partially/ temporarily","Yes, but only partially/ temporarily","Yes, but only partially/ temporarily",Yes,Yes,"Yes, but only partially/ temporarily",NA,Yes,Yes,Yes,No,No,NA,Yes,Yes,Yes,Yes,NA,NA,NA,NA,I am mostly familiar with this facility/operation,NA
2,D1,100,"Fresh produce,Dairy,Beef/Pork,Poultry",NA,Research and development,NA,Yes,"Operations/production has expanded,Implemented robotics, sensors, automation, and/or computer modeling,Management/corporate employees working remotely,Major changes in operational staffing control and protection protocols",NA,"2 -
Slightly concerning","4 -
Very concerning","3 -
Moderately concerning","3 -
Moderately concerning","3 -
Moderately concerning","1 -
Not at all concerning","1 -
Not at all concerning","2 -
Slightly concerning","3 -
Moderately concerning","3 -
Moderately concerning",NA,"3 -
Moderately challenging","4 -
Very challenging","4 -
Very challenging","4 -
Very challenging","4 -
Very challenging",NA,"4 -
Very important","2 -
Slightly important","2 -
Slightly important","2 -
Slightly important","4 -
Very important","4 -
Very important",NA,"3 -
Moderately important","3 -
Moderately important","3 -
Moderately important","5 -
Extremely important","5 -
Extremely important","5 -
Extremely important",NA,"4 -
Very important","4 -
Very important","4 -
Very important","4 -
Very important","4 -
Very important","4 -
Very important",NA,Other,Cleaning & Sanitation,NA,NA,NA,NA,NA,1000-2000,Large,20,5,No,NA,No,NA,20%,"4 -
High risk","4 -
High risk","3 -
Moderate risk","5 - 
Very high risk","4 -
High risk","3 -
Moderate risk",NA,"1 -
Not at all concerning","1 -
Not at all concerning","3 -
Moderately concerning","1 -
Not at all concerning","2 -
Slightly concerning","3 -
Moderately concerning","3 -
Moderately concerning",NA,"Extend the number of work hours for remaining workers,Backfill with emergency personnel from third-party companies,Backfill by reorganizing personnel in the same facility",NA,NA,"Yes, but only partially/ temporarily","Yes, but only partially/ temporarily","Yes, but only partially/ temporarily",No,"Yes, but only partially/ temporarily",No,No,NA,Yes,Yes,"Yes, but only partially/ temporarily",No,Yes,NA,"Yes, but only partially/ temporarily",No,"Yes, but only partially/ temporarily","Yes, but only partially/ temporarily",NA,NA,NA,NA,I am mostly familiar with this facility/operation,NA
3,D1,100,Dairy,NA,Facility manager,NA,Yes,"Operations/production has been reduced/cut back,Operations/production has expanded,Management/corporate employees working remotely,Major changes in operational staffing control and protection protocols",NA,"1 -
Not at all concerning","4 -
Very concerning","3 -
Moderately concerning","2 -
Slightly concerning","1 -
Not at all concerning","3 -
Moderately concerning","1 -
Not at all concerning","3 -
Moderately concerning","3 -
Moderately concerning","4 -
Very concerning",NA,"4 -
Very challenging","4 -
Very challenging","4 -
Very challenging","4 -
Very challenging","4 -
Very challenging",NA,"4 -
Very important","4 -
Very important","2 -
Slightly important","4 -
Very important","4 -
Very important","4 -
Very important",NA,"2 -
Slightly important","3 -
Moderately important","3 -
Moderately important","3 -
Moderately important","3 -
Moderately important","3 -
Moderately important",NA,"4 -
Very important","4 -
Very important","4 -
Very important","2 -
Slightly important","2 -
Slightly important","3 -
Moderately important",NA,Dairy,NA,NA,NA,NA,NA,NA,100-249,Medium,NA,NA,No,NA,No,NA,10%,"3 -
Moderate risk","2 -
Low risk","2 -
Low risk","2 -
Low risk","3 -
Moderate risk","3 -
Moderate risk",NA,"3 -
Moderately concerning","2 -
Slightly concerning","3 -
Moderately concerning","1 -
Not at all concerning","3 -
Moderately concerning","3 -
Moderately concerning","3 -
Moderately concerning",NA,"Extend the number of work hours for remaining workers,Backfill by reorganizing personnel in the same facility",Yes,NA,Yes,Yes,Yes,No,Yes,Yes,No,NA,Yes,Yes,Yes,No,Yes,NA,Yes,No,Yes,Yes,NA,NA,Yes,NA,This facility/operation has been impacted greatly by COVID-19,NA
4,D1,100,Dairy,NA,Other:,Sales servicing plants,Yes,"Operations/production has been reduced/cut back,Management/corporate employees working remotely,Major changes in operational staffing control and protection protocols",NA,"5 -
Extremely concerning","5 -
Extremely concerning","5 -
Extremely concerning","5 -
Extremely concerning","3 -
Moderately concerning","3 -
Moderately concerning","3 -
Moderately concerning","3 -
Moderately concerning","4 -
Very concerning","5 -
Extremely concerning","Supply chain to food plants competing for gloves, hairnets, etc..","5 -
Extremely challenging","5 -
Extremely challenging","4 -
Very challenging","4 -
Very challenging","5 -
Extremely challenging",We can't hire people that get to stay home and make more money,"4 -
Very important","4 -
Very important","4 -
Very important","4 -
Very important","5 -
Extremely important","5 -
Extremely important",NA,"4 -
Very important","5 -
Extremely important","4 -
Very important","3 -
Moderately important","5 -
Extremely important","5 -
Extremely important",NA,"5 -
Extremely important","5 -
Extremely important","5 -
Extremely important","3 -
Moderately important","5 -
Extremely important","5 -
Extremely important",NA,Dairy,NA,NA,NA,NA,NA,NA,50-99,Medium,20,NA,No,NA,No,NA,Do not know,"3 -
Moderate risk","2 -
Low risk","2 -
Low risk","5 - 
Very high risk","4 -
High risk","5 - 
Very high risk",NA,"2 -
Slightly concerning",Do not know,"4 -
Very concerning","2 -
Slightly concerning","4 -
Very concerning","5 -
Extremely concerning","5 -
Extremely concerning",NA,"Extend the number of work hours for remaining workers,Backfill by reorganizing personnel in the same facility",Yes,NA,Yes,Yes,No,No,"Yes, but only partially/ temporarily","Yes, but only partially/ temporarily",Yes,5 ft not practical for some production areas,Yes,Yes,Yes,No,No,Availability of supplies at the onset but now you need to monitor the reliability of the products for compliance.,Yes,Yes,Yes,Yes,NA,NA,NA,NA,I am mostly familiar with this facility/operation,NA
5,D1,100,Dairy,NA,Corporate food safety and quality,NA,Yes,"Management/corporate employees working remotely,Major changes in operational staffing control and protection protocols",NA,"4 -
Very concerning","3 -
Moderately concerning","5 -
Extremely concerning","5 -
Extremely concerning","1 -
Not at all concerning","1 -
Not at all concerning","1 -
Not at all concerning","5 -
Extremely concerning","4 -
Very concerning","4 -
Very concerning",NA,"2 -
Slightly challenging","3 -
Moderately challenging","1 -
Not at all challenging","1 -
Not at all challenging","2 -
Slightly challenging",Contact tracing of employees,"4 -
Very important","2 -
Slightly important","5 -
Extremely important","5 -
Extremely important","3 -
Moderately important","4 -
Very important",NA,"4 -
Very important","3 -
Moderately important","5 -
Extremely important","5 -
Extremely important","5 -
Extremely important","4 -
Very important",NA,"5 -
Extremely important","5 -
Extremely important","5 -
Extremely important","5 -
Extremely important","5 -
Extremely important","5 -
Extremely important",NA,Dairy,NA,NA,NA,NA,NA,NA,100-249,Medium,20,0,No,NA,No,NA,15%,"2 -
Low risk","2 -
Low risk","2 -
Low risk","2 -
Low risk","2 -
Low risk","2 -
Low risk","We are well staffed and most are trained for multiple roles, at least for basic backup.","1 -
Not at all concerning","2 -
Slightly concerning","4 -
Very concerning","2 -
Slightly concerning","3 -
Moderately concerning","2 -
Slightly concerning","4 -
Very concerning",NA,"Extend the number of work hours for remaining workers,Backfill by reorganizing personnel in the same facility",No,NA,Yes,Yes,Yes,No,Yes,Yes,"Yes, but only partially/ temporarily",NA,Yes,Yes,Yes,Yes,Yes,NA,"Yes, but only partially/ temporarily",No,Yes,Yes,NA,"Additional ""Covid""  PTO for employees with family concerns, infections, home schooling, etc. ",Yes,"Safety of workers and families is paramount and this has helped mitigate the pandemic especially during initial phases when any sickness was ""suspect"". Most office staff was able to work from home. ",This is our strategically important facility/operation,NA
6,D1,100,Dairy,NA,Research and development,NA,No,NA,NA,"1 -
Not at all concerning","3 -
Moderately concerning","3 -
Moderately concerning","3 -
Moderately concerning","1 -
Not at all concerning","3 -
Moderately concerning","1 -
Not at all concerning","4 -
Very concerning","4 -
Very concerning","1 -
Not at all concerning",NA,"4 -
Very challenging","4 -
Very challenging","1 -
Not at all challenging","2 -
Slightly challenging","2 -
Slightly challenging",NA,"2 -
Slightly important","2 -
Slightly important","3 -
Moderately important","3 -
Moderately important","1 -
Not at all important","2 -
Slightly important",NA,"1 -
Not at all important","2 -
Slightly important","2 -
Slightly important","2 -
Slightly important","2 -
Slightly important","2 -
Slightly important",NA,"2 -
Slightly important","2 -
Slightly important","2 -
Slightly important","2 -
Slightly important","2 -
Slightly important","3 -
Moderately important",NA,Dairy,NA,NA,NA,NA,NA,NA,250-499,Large,15,5,No,NA,No,NA,15%,"4 -
High risk","3 -
Moderate risk","2 -
Low risk","4 -
High risk","2 -
Low risk","3 -
Moderate risk",NA,Do not know,Do not know,"2 -
Slightly concerning","1 -
Not at all concerning","2 -
Slightly concerning","2 -
Slightly concerning","5 -
Extremely concerning",NA,"Extend the number of work hours for remaining workers,Backfill with emergency personnel from third-party companies,Backfill by reorganizing personnel in the same facility",Yes,NA,Yes,Yes,Yes,No,"Yes, but only partially/ temporarily",Yes,No,NA,No,Yes,Yes,No,No,NA,Yes,Yes,Yes,Yes,NA,NA,No,NA,This facility/operation has been impacted greatly by COVID-19,NA
7,D1,100,Dairy,NA,Facility manager,NA,Yes,"Operations/production has expanded,Major changes in operational staffing control and protection protocols",NA,"3 -
Moderately concerning","5 -
Extremely concerning","2 -
Slightly concerning","1 -
Not at all concerning","2 -
Slightly concerning","5 -
Extremely concerning","4 -
Very concerning","3 -
Moderately concerning","5 -
Extremely concerning","4 -
Very concerning",NA,"5 -
Extremely challenging","4 -
Very challenging","2 -
Slightly challenging","5 -
Extremely challenging","4 -
Very challenging",NA,"4 -
Very important","1 -
Not at all important","2 -
Slightly important","3 -
Moderately important","2 -
Slightly important","3 -
Moderately important",NA,"3 -
Moderately important","3 -
Moderately important","3 -
Moderately important","4 -
Very important","1 -
Not at all important","4 -
Very important",NA,"5 -
Extremely important","5 -
Extremely important","5 -
Extremely important","3 -
Moderately important","3 -
Moderately important","3 -
Moderately important",NA,Dairy,NA,NA,NA,NA,NA,NA,100-249,Medium,20,0,No,NA,Yes,20,5%,"4 -
High risk","4 -
High risk","4 -
High risk","5 - 
Very high risk","3 -
Moderate risk","4 -
High risk",NA,"2 -
Slightly concerning","2 -
Slightly concerning","4 -
Very concerning","4 -
Very concerning","4 -
Very concerning","4 -
Very concerning","4 -
Very concerning",NA,"Extend the number of work hours for remaining workers,Backfill by reorganizing personnel in the same facility",Yes,NA,Yes,Yes,No,No,Yes,Yes,No,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,No,Yes,NA,NA,NA,NA,This is our strategically important facility/operation,NA
8,D1,100,Dairy,NA,Other:,Affineur,No,NA,NA,"3 -
Moderately concerning","4 -
Very concerning","2 -
Slightly concerning","2 -
Slightly concerning","2 -
Slightly concerning","3 -
Moderately concerning","1 -
Not at all concerning","3 -
Moderately concerning","5 -
Extremely concerning","2 -
Slightly concerning",NA,"5 -
Extremely challenging","4 -
Very challenging","1 -
Not at all challenging","4 -
Very challenging","3 -
Moderately challenging",NA,"5 -
Extremely important","2 -
Slightly important","2 -
Slightly important","4 -
Very important","4 -
Very important","3 -
Moderately important",NA,"4 -
Very important","3 -
Moderately important","4 -
Very important","4 -
Very important","4 -
Very important","5 -
Extremely important",NA,"5 -
Extremely important","4 -
Very important","4 -
Very important","3 -
Moderately important","5 -
Extremely important","5 -
Extremely important",NA,Dairy,NA,NA,NA,NA,NA,NA,100-249,Medium,3,0,No,NA,Yes,10%,10%,"3 -
Moderate risk","4 -
High risk","4 -
High risk","5 - 
Very high risk","3 -
Moderate risk","5 - 
Very high risk","Human Resources, Customer Service","1 -
Not at all concerning","2 -
Slightly concerning","5 -
Extremely concerning","2 -
Slightly concerning","4 -
Very concerning","5 -
Extremely concerning","1 -
Not at all concerning",NA,"Extend the number of work hours for remaining workers,Backfill by reorganizing personnel in the same facility",Yes,"If extending the number of work hours for remaining workers, compensate with double time for hours worked past 40, Start OT after scheduled hours worked daily instead of after 40 hours",No,"Yes, but only partially/ temporarily",No,No,Yes,No,No,NA,No,No,Yes,No,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,No,NA,I am mostly familiar with this facility/operation,NA
9,D2,100,Dairy,NA,C-suite,NA,Yes,"Management/corporate employees working remotely,Major changes in operational staffing control and protection protocols",NA,"5 -
Extremely concerning","5 -
Extremely concerning","5 -
Extremely concerning","5 -
Extremely concerning","3 -
Moderately concerning","5 -
Extremely concerning","3 -
Moderately concerning","4 -
Very concerning","5 -
Extremely concerning","5 -
Extremely concerning",Distribution is a major concern,"5 -
Extremely challenging","5 -
Extremely challenging",Do not know,"4 -
Very challenging","5 -
Extremely challenging",Easily obtainable government handouts have a negative effect on those willing to participate in the labor market,"3 -
Moderately important","2 -
Slightly important","3 -
Moderately important","5 -
Extremely important","3 -
Moderately important","4 -
Very important",NA,"1 -
Not at all important","2 -
Slightly important","5 -
Extremely important","5 -
Extremely important","5 -
Extremely important","5 -
Extremely important",NA,"5 -
Extremely important","4 -
Very important","4 -
Very important","4 -
Very important","4 -
Very important","4 -
Very important",NA,Dairy,NA,NA,NA,NA,NA,NA,50-99,Medium,30,0,No,NA,No,NA,10%,"5 - 
Very high risk","4 -
High risk","4 -
High risk","5 - 
Very high risk","3 -
Moderate risk","5 - 
Very high risk",Warehouse workers,"5 -
Extremely concerning","4 -
Very concerning","3 -
Moderately concerning","2 -
Slightly concerning","4 -
Very concerning","5 -
Extremely concerning","5 -
Extremely concerning",Outside vendors such as milk truck drivers and supply delivery drivers.  They pose additional risks to the business.,"Extend the number of work hours for remaining workers,Backfill with emergency personnel from third-party companies,Backfill by reorganizing personnel in the same facility",Yes,Possibly organize and facilitate an exchange program amongst dairy processing companies to support one another with qualified workers.,"Yes, but only partially/ temporarily",Yes,Yes,No,No,Yes,Yes,We are unable to downsize due to connection with farmers.,Yes,Yes,Yes,Yes,Yes,NA,Yes,"Yes, but only partially/ temporarily",Yes,Yes,NA,Separation of outside vendors from staff and sanitizing all common areas every 4 hours.,Yes,NA,This facility/operation has been impacted greatly by COVID-19,NA
10,D2,100,Dairy,NA,Facility manager,NA,No,NA,NA,"5 -
Extremely concerning","5 -
Extremely concerning","5 -
Extremely concerning","5 -
Extremely concerning","5 -
Extremely concerning","5 -
Extremely concerning","5 -
Extremely concerning","5 -
Extremely concerning","5 -
Extremely concerning","5 -
Extremely concerning",n/a,"4 -
Very challenging","5 -
Extremely challenging","1 -
Not at all challenging","3 -
Moderately challenging","3 -
Moderately challenging",n/a,"5 -
Extremely important","1 -
Not at all important","3 -
Moderately important","4 -
Very important","4 -
Very important","4 -
Very important",n/a,"4 -
Very important","5 -
Extremely important","4 -
Very important","4 -
Very important","4 -
Very important","4 -
Very important",n/a,"5 -
Extremely important","4 -
Very important","5 -
Extremely important","4 -
Very important","4 -
Very important","4 -
Very important",n/a,Dairy,NA,NA,NA,NA,NA,NA,250-499,Large,35,5,No,NA,No,NA,5%,"5 - 
Very high risk","5 - 
Very high risk","5 - 
Very high risk","4 -
High risk","4 -
High risk","3 -
Moderate risk",n/a,"1 -
Not at all concerning","1 -
Not at all concerning","3 -
Moderately concerning","3 -
Moderately concerning","4 -
Very concerning","3 -
Moderately concerning","2 -
Slightly concerning",n/a,Backfill by reorganizing personnel in the same facility,No,n/a,Yes,Yes,No,No,Yes,Yes,No,n/a,Yes,Yes,Yes,"Yes, but only partially/ temporarily","Yes, but only partially/ temporarily",n/a,Yes,No,No,Yes,n/a,NA,"Yes, but only partially/ temporally",n/a,This is our typical facility/operation,NA
